# source_id_1_1       ra_1_1             dec_1_1             phot_g_mean_mag_1 phot_bp_mean_mag_1 phot_rp_mean_mag_1 _2MASS           Jmag   e_Jmag Hmag   e_Hmag Kmag   e_Kmag objID             gmag    e_gmag rmag_2  e_rmag imag    e_imag zmag    e_zmag ymag    e_ymag
  6049035616179105024 245.98135968030937 -24.740020109253223 12.84481          15.874468          11.371269          16235551-2444240 8.302  0.023  6.944  0.046  6.311  0.029  78312459811832338 16.8132 0.0058 14.6596 0.007  12.26   0.0    11.026  0.0    10.409  0.0   
  6049252907165036416 245.08392427271912 -24.759004245628162 12.8618555        14.223298          11.721342          16202015-2445324 9.747  0.024  8.727  0.061  8.422  0.031  78282450839639538 14.8467 0.0136 13.137  0.0    12.213  0.0    11.593  0.0    11.255  0.0   
  6049229306321955968 245.91002394927094 -24.61543630885187  12.87591          13.511874          12.076205          16233838-2436554 10.8   0.024  10.345 0.024  10.139 0.019  78462459099741852 13.6754 8.0E-4 13.019  0.0    12.496  0.0    12.135  0.0    11.984  0.0   
  6049253392498482304 245.1363981268434  -24.720994621636084 12.921278         14.050846          11.868682          16203275-2443155 10.088 0.027  9.297  0.026  9.027  0.024  78332451364595189 14.5356 0.0062 13.053  0.0    12.293  0.0    11.77   0.0    11.503  0.0   
  6049274798615396480 244.8263867972652  -24.529164034214542 12.923795         13.923089          11.9313            16191832-2431450 10.295 0.021  9.545  0.022  9.281  0.019  78562448263835423 14.3079 0.0046 13.196  0.0    12.453  0.0    11.937  0.0    11.685  0.0   
  6049649044887827072 244.57964433708696 -24.587594353394802 12.928331         13.480209          12.209782          16181911-2435152 11.22  0.023  10.86  0.023  10.706 0.021  78492445796165236 13.6394 0.0027 13.076  0.0    12.687  0.0    12.416  0.0    12.2725 0.0022
  6048959754175986432 246.47314434488578 -25.19382860081418  12.932086         14.581251          11.704258          16255355-2511379 9.514  0.024  8.39   0.034  8.023  0.023  77762464731417701 15.3101 0.0082 13.4979 5.0E-4 12.404  0.0    11.612  0.0    11.194  0.0   
  6048596021988984576 245.57668553224474 -25.58601573594653  12.932328         13.792372          12.016274          16221838-2535096 10.577 0.022  9.901  0.029  9.683  0.021  77292455766447151 14.1337 0.0053 13.069  0.0    12.463  0.0    12.06   0.0    11.857  0.0   
  6048804997913864192 245.12049544018984 -25.33473148985833  12.934807         13.578059          12.13754           16202893-2520048 10.849 0.022  10.278 0.027  10.073 0.023  77592451205418732 13.7882 0.0036 12.871  0.0    12.425  0.0    12.147  0.0    12.03   0.0011
  6048770535096236160 244.7952524245667  -25.62919484462542  12.935574         14.023416          11.906515          16191086-2537451 10.163 0.023  9.402  0.023  9.105  0.019  77242447952625267 14.5161 0.0027 13.18   0.0    12.395  0.0    11.847  0.0    11.583  0.0   
  6048807231296859264 245.2454887785303  -25.25320512879909  12.936601         13.674616          12.088886          16205894-2515114 10.82  0.023  10.24  0.023  10.109 0.023  77692452455256563 13.9047 0.0    12.737  0.0    12.331  0.0    12.086  0.0    11.954  0.0   
  6050050087454091648 244.7274726892267  -24.243205235298944 12.947698         14.032316          11.920369          16185458-2414355 10.228 0.022  9.336  0.022  9.13   0.024  78902447274338489 14.506  0.0011 13.161  0.0    12.343  0.0    11.847  0.0    11.567  0.0   
  6049260676763429504 245.36037667256747 -24.649616698705245 12.955814         14.295024          11.826346          16212647-2438585 9.787  0.021  8.873  0.024  8.54   0.021  78422453603670860 14.9379 0.0016 13.387  0.0    12.406  0.0    11.711  0.0    11.366  0.0   
  6048539740736724480 245.8490616270765  -25.761836403345534 12.958919         13.96998           11.960913          16232377-2545425 10.421 0.024  9.623  0.023  9.397  0.023  77082458490706206 14.3941 0.0023 13.262  0.0    12.543  0.0    12.05   0.0    11.8    0.0   
  6048799294197296512 245.09110100116274 -25.347992209850755 12.96579          13.778038          12.0702505         16202186-2520527 10.727 0.022  10.114 0.024  9.909  0.019  77582450910982673 14.0683 0.0035 12.994  0.0    12.46   0.0    12.107  0.0    11.937  0.0   
  6048979236147700224 246.04000907523692 -25.30277613322357  12.965879         14.217615          11.867653          16240960-2518098 9.961  0.022  9.048  0.022  8.727  0.023  77632460400287012 14.7845 0.0025 13.2036 0.001  12.541  0.0    11.859  0.0    11.522  0.0   
  6048594819398152960 245.50913751616795 -25.598876262733345 12.966232         13.835701          12.045213          16220219-2535558 10.615 0.021  9.935  0.022  9.734  0.021  77282455091371747 14.2017 0.0057 13.175  0.0    12.541  0.0    12.111  0.0    11.904  0.0   
  6048938451138150656 246.3197005004394  -25.416040961371646 12.966533         14.287279          11.838623          16251672-2524576 9.751  0.021  8.775  0.049  8.483  0.021  77502463196931090 14.9296 0.0029 13.329  0.0    12.288  0.0    11.623  0.0    11.262  0.0   
  6050063217172996224 244.93983474134092 -24.15523008979389  12.983632         13.657669          12.175761          16194558-2409186 11.013 0.024  10.569 0.023  10.419 0.023  79012449398854093 13.8526 0.0011 13.059  0.0    12.597  0.0    12.281  0.0    12.1421 0.0044
